Vocab-sound-local	Sentence-expression	Sentence-meaning
sore wo hitotsu kudasai	それを一つください。	Please give me one of those.
sofutokuriimu wo futatsu kudasai	ソフトクリームを二つください。	Please give me two ice cream cones.
kareeraisu ha nanahyakuen desu	カレーライスは700円です。	The curry and rice is 700 yen.
kore ha kanari kane ga kakatta	これはかなり金がかかった。	This cost quite a bit of money.
korewokudasai。	これをください。	I'll have this please.
suiyoubi ha baito ga arimasu	水曜日はバイトがあります。	I have a part-time job on Wednesdays.
are ha nan desu ka	あれは何ですか。	What's that?
osakini douzo	お先にどうぞ。	Please go ahead.
youka kara igirisu ni ikimasu	八日からイギリスに行きます。	I go to England on the eighth.
soba ni ite kudasai	そばにいて下さい。	Stay with me.
kotchi ni kite kudasai	こっちに来て下さい。	Please come here.
migi no poketto ni hankachi ga haitte imasu	右のポケットにハンカチが入っています。	There's a handkerchief in my right pocket.
kono hon anata ni agemasu	この本、あなたにあげます。	I'll give you this book.
koko ni hon ga arimasu	ここに本があります。	There's a book here.
kono hon ha totemo omoshiroi	この本はとてもおもしろい。	This book is very interesting.
banana ga nanahon arimasu	バナナが七本あります。	There are seven bananas.
wakatta hito ha te wo agete kudasai	分かった人は手を上げてください。	Please raise your hand if you understand.
onaka ga sukimashita	おなかが空きました。	I'm hungry.
resutoran ha suite imashita	レストランは空いていました。	The restaurant was empty.
raigetsu no tsuitachi ha aiteimasu ka	来月の一日は空いていますか。	Are you free on the 1st of next month?
nichiyoubi ha umi ni ikimashita	日曜日は海に行きました。	We went to the seaside on Sunday.
kono ko ha kotoshi nanatsu ni narimasu	この子は今年七つになります。	Our kid's turning seven this year.
kono naka de dore ga suki desu ka	この中でどれが好きですか。	Which of these do you like?
watashi ga ikimashou	私が行きましょう。	Why don't I go.
watashi ha wain ga suki desu	私はワインが好きです。	I like wine.
watashitachi ha bideogeemu wo shita	私たちはビデオゲームをした。	We played a video game.
soko ni ha watashi hitori shika inakatta	そこには私一人しかいなかった。	I was the only one there.
watashi ni ha tomodachi ga takusan imasu	私には友達がたくさんいます。	I have a lot of friends.
uchi ni kaerou	家に帰ろう。	Let's go home.
okagesama de genki desu	おかげさまで元気です。	I'm fine, thank you.
kyou ha ii tenki desu ne	今日はいい天気ですね。	It's nice out today.
kotoshi ha ame ga sukunai desu 。	今年は雨が少ないです。	There's not much rain this year.
ashita ha hareru to ii desu ne	明日は晴れるといいですね。	I hope it'll be sunny tomorrow.
ue wo muite	上を向いて。	Look up.
doa wo akete kudasai	ドアを開けてください。	Please open the door.
sanjuunipeeji wo hiraite kudasai	32ページを開いてください。	Please open to page 32.
kuchi wo ookiku akete kudasai	口を大きく開けてください。	Open wide, please.
chanto doa wo shimeteyo	ちゃんとドアを閉めてよ。	Close the door properly.
ima ha jikan ga arimasen	今は時間がありません。	I don't have time now.
muikamae ni nihon ni kaette kimashita	六日前に日本に帰ってきました。	I came back to Japan six days ago.
ushiro wo muite	後ろを向いて。	Turn around.
tookago ni kaerimasu	十日後に帰ります。	I'll come home in ten days.
