Vocab-sound-local	Sentence-expression	Sentence-meaning
sore wo hitotsu kudasai	それを一つください。	Please give me one of those.	1
sofutokuriimu wo futatsu kudasai	ソフトクリームを二つください。	Please give me two ice cream cones.	1
kareeraisu ha nanahyakuen desu	カレーライスは700円です。	The curry and rice is 700 yen.	1
kore ha kanari kane ga kakatta	これはかなり金がかかった。	This cost quite a bit of money.	1
korewokudasai。	これをください。	I'll have this please.	1
suiyoubi ha baito ga arimasu	水曜日はバイトがあります。	I have a part-time job on Wednesdays.	1
are ha nan desu ka	あれは何ですか。	What's that?	1
osakini douzo	お先にどうぞ。	Please go ahead.	1
youka kara igirisu ni ikimasu	八日からイギリスに行きます。	I go to England on the eighth.	1
soba ni ite kudasai	そばにいて下さい。	Stay with me.	1
kotchi ni kite kudasai	こっちに来て下さい。	Please come here.	1
migi no poketto ni hankachi ga haitte imasu	右のポケットにハンカチが入っています。	There's a handkerchief in my right pocket.	1
kono hon anata ni agemasu	この本、あなたにあげます。	I'll give you this book.	1
koko ni hon ga arimasu	ここに本があります。	There's a book here.	1
kono hon ha totemo omoshiroi	この本はとてもおもしろい。	This book is very interesting.	1
banana ga nanahon arimasu	バナナが七本あります。	There are seven bananas.	1
wakatta hito ha te wo agete kudasai	分かった人は手を上げてください。	Please raise your hand if you understand.	1
onaka ga sukimashita	おなかが空きました。	I'm hungry.	1
resutoran ha suite imashita	レストランは空いていました。	The restaurant was empty.	1
raigetsu no tsuitachi ha aiteimasu ka	来月の一日は空いていますか。	Are you free on the 1st of next month?	1
nichiyoubi ha umi ni ikimashita	日曜日は海に行きました。	We went to the seaside on Sunday.	1
kono ko ha kotoshi nanatsu ni narimasu	この子は今年七つになります。	Our kid's turning seven this year.	2
kono naka de dore ga suki desu ka	この中でどれが好きですか。	Which of these do you like?	1
watashi ga ikimashou	私が行きましょう。	Why don't I go.	1
watashi ha wain ga suki desu	私はワインが好きです。	I like wine.	1
watashitachi ha bideogeemu wo shita	私たちはビデオゲームをした。	We played a video game.	1
soko ni ha watashi hitori shika inakatta	そこには私一人しかいなかった。	I was the only one there.	1
watashi ni ha tomodachi ga takusan imasu	私には友達がたくさんいます。	I have a lot of friends.	1
uchi ni kaerou	家に帰ろう。	Let's go home.	1
okagesama de genki desu	おかげさまで元気です。	I'm fine, thank you.	1
kyou ha ii tenki desu ne	今日はいい天気ですね。	It's nice out today.	1
kotoshi ha ame ga sukunai desu 。	今年は雨が少ないです。	There's not much rain this year.	1
ashita ha hareru to ii desu ne	明日は晴れるといいですね。	I hope it'll be sunny tomorrow.	1
ue wo muite	上を向いて。	Look up.	1
doa wo akete kudasai	ドアを開けてください。	Please open the door.	1
sanjuunipeeji wo hiraite kudasai	32ページを開いてください。	Please open to page 32.	1
kuchi wo ookiku akete kudasai	口を大きく開けてください。	Open wide, please.	1
chanto doa wo shimeteyo	ちゃんとドアを閉めてよ。	Close the door properly.	1
ima ha jikan ga arimasen	今は時間がありません。	I don't have time now.	1
muikamae ni nihon ni kaette kimashita	六日前に日本に帰ってきました。	I came back to Japan six days ago.	1
ushiro wo muite	後ろを向いて。	Turn around.	1
tookago ni kaerimasu	十日後に帰ります。	I'll come home in ten days.	1
gozen kuji no nyuusu desu	午前9時のニュースです。	And now for the 9.00 a.m. news.	1
konban no paateii ha nanji kara desu ka	今晩のパーティーは何時からですか。	From what time is the party tonight?	1
doyoubi no yoru ha kurabu ni ikimasu	土曜日の夜はクラブに行きます。	I'm going to a club Saturday night.	1
kinyoubi no yoru ha tomodachi to dekakemasu	金曜日の夜は友達と出かけます。	I go out with my friends on Friday nights.	1
konya ha tsuki ga totemo kirei desu	今夜は月がとてもきれいです。	The moon looks so beautiful tonight.	1
kinou no yoru ha ie ni imashita	きのうの夜は家にいました。	I was at home last night.	1
kinou taikaree wo tabemashita	昨日タイカレーを食べました。	I had Thai curry yesterday.	1
yuushoku ni ha nani wo tabetai desu ka	夕食には何を食べたいですか。	What would you like for supper?	1
bangohan ha tabemashita ka	晩ご飯は食べましたか。	Have you had dinner?	1
watashi ha pan yori gohan ga suki da	私はパンよりご飯が好きだ。	I prefer rice to bread.	1
koppu wo mittsu kaimashita	コップを三つ買いました。	I bought three glasses.	1
watashi ha hiru no dorama wo mainichi mimasu	私は昼のドラマを毎日見ます。	I watch daytime dramas every day.	1
megane ga mitsukarimasen	メガネが見つかりません。	I can't find my glasses.	1
sore ha tottemo ii hanashi da	それはとってもいい話だ。	That's a really nice story.	1
otoko no hito ga watashitachi ni hanashikaketa	男の人が私たちに話しかけた。	This guy began talking to us.	1
konshuu ha nihongo no tesuto ga arimasu	今週は日本語のテストがあります。	There's a Japanese test this week.	1
kou chiisai ji ha yomenai	こう小さい字は読めない。	I can't read such small letters.	1
mata aimashou	また会いましょう。	Let's meet again.	1
getsuyoubi ni aimashou	月曜日に会いましょう。	Let's meet on Monday.	1
kinou tomodachi ni atta	昨日、友達に会った。	I met a friend yesterday.	1
ashita kaisha wo yasumimasu	明日、会社を休みます。	I'm off work tomorrow.	1
kyou ha shigoto ga arimasen	今日は仕事がありません。	I have no work today.	1
mokuyoubi ha shigoto ga yasumi desu	木曜日は仕事が休みです。	Thursday is my day off work.	1
wakaranai baai ha watashi ni kiite kudasai	分からない場合は私に聞いてください。	Please ask me if you don't understand.	1
denki wo tsukete kudasai	電気をつけてください。	Please turn on the light.	1
eki ha doko desu ka	駅はどこですか。	Where's the station?	1
hanasu no wo yamete kudasai	話すのを止めてください。	Stop talking, please.	1
eki made arukimashou	駅まで歩きましょう。	Let's walk to the station.	1
eki no chikaku de shokuji wo shita	駅の近くで食事をした。	I ate near the station.	1
motto chikaku ni kite kudasai	もっと近くに来てください。	Please come closer.	1
eki ha koko kara chikai desu	駅はここから近いです。	The station is near here.	1
watashi no ie ha eki no chikaku desu	私の家は駅の近くです。	My house is near the station.	1
sore zenbu kudasai	それ、全部ください。	I'd like all of those, please.	1
watashi no kuni ni tsuite sukoshi ohanashi shimashou	私の国について少しお話しましょう。	Let me tell you a bit about my country.	1
kanji ha chuugoku kara kimashita	漢字は中国から来ました。	Kanji came from China.	1
akai bara wo kaimashita	赤いバラを買いました。	I bought a red rose.	1
niku to sakana to dochira ga suki desu ka	肉と魚とどちらが好きですか。	Which do you prefer, meat or fish?	1
nihonjin ha okome ga daisuki desu	日本人はお米が大好きです。	Japanese people love rice.	1
koko no ryouri ha mazui	ここの料理はまずい。	The food here is bad.	1
koko ni ha nani mo nai	ここには何も無い。	There's nothing here.	1
ima asagohan wo tsukutte imasu	今、朝ご飯を作っています。	I'm making breakfast now.	1
kono pasokon wo tsukatte kudasai	このパソコンを使ってください。	Please use this computer.	1
hiruma ha denki wo keshite kudasai	昼間は電気を消してください。	Please turn the lights off during the day.	1
omise ha mou shimatte imashita	お店はもう閉まっていました。	The shop had already closed.	1
sono mise no mae de aimashou	その店の前で会いましょう。	Let's meet in front of the shop.	1
watashi ha kono mise ni yoku kimasu	私はこの店によく来ます。	I come to this store quite often.	1
watashi no heya ha nikai ni arimasu	私の部屋は2階にあります。	My room is on the second floor.	1
watashi ha natsu ga daisuki	私は夏が大好き。	I just love summer.	1
kyou ha totemo atsui	今日はとても暑い。	It's very hot today.	1
kono suupu ha totemo atsui	このスープはとても熱い。	This soup is very hot.	1
kanada no fuyu ha totemo samui desu	カナダの冬はとても寒いです。	Canada's winters are very cold.	1
samui no de naka ni haitte kudasai	寒いので中に入ってください。	It's cold so please come inside.	1
kono heya ha samui desu	この部屋は寒いです。	It's cold in this room.	1
kotoshi no haru ha atatakai ne	今年の春は暖かいね。	It's warm this spring, isn't it.	1
kono kooto ha totemo atatakai。	このコートはとても暖かい。	This coat is really warm.	1
atarashii shigoto wo mitsukemashita。	新しい仕事を見つけました。	I found a new job.	1
atarashii teeburu wo kaimashita	新しいテーブルを買いました。	I bought a new table.	1
watashi ha furui kuruma ga suki desu	私は古い車が好きです。	I like old cars.	1
tabako ha karada ni warui	たばこは体に悪い。	Cigarettes are bad for your health.	1
watashi mo sou omoimasu	私もそう思います。	I think so too.	1
watashi mo sou omoimasu	私もそう思います。	That's what I think too.	1
